time;Azimut:;Inclinazione:;Rotolio:
0,058229;154,201;-26,738;-6,713
0,108833;153,478;-26,738;-6,713
0,250111;153,070;-27,223;-6,474
0,308627;152,530;-27,223;-6,474
0,328200;152,530;-27,223;-6,474
0,328399;152,530;-27,223;-6,474
0,443695;152,948;-26,877;-6,852
0,508456;152,467;-26,877;-6,852
0,529296;152,467;-26,877;-6,852
0,636972;152,363;-26,611;-6,394
0,708651;151,017;-26,611;-6,394
0,829491;151,065;-26,777;-6,652
0,909793;149,823;-26,777;-6,652
0,928663;149,823;-26,777;-6,652
0,929113;149,823;-26,777;-6,652
1,021623;151,585;-24,436;-6,958
1,110190;150,905;-24,436;-6,958
1,215428;152,530;-21,998;-7,130
1,310274;152,311;-21,998;-7,130
1,329139;152,311;-21,998;-7,130
1,406127;151,846;-22,721;-7,094
1,509917;151,592;-22,721;-7,094
1,528415;151,592;-22,721;-7,094
1,528926;151,592;-22,721;-7,094
1,598796;151,540;-23,075;-7,342
1,711359;151,052;-23,075;-7,342
1,728722;151,052;-23,075;-7,342
1,792718;153,175;-20,363;-7,928
1,909666;152,707;-20,363;-7,928
1,928866;152,707;-20,363;-7,928
1,982790;154,206;-7,529;-1,196
2,110184;153,288;-7,529;-1,196
2,129000;153,288;-7,529;-1,196
2,176782;158,104;14,115;0,223
2,309464;156,243;14,115;0,223
2,372313;165,499;19,023;-11,466
2,510169;162,416;19,023;-11,466
2,528557;162,416;19,023;-11,466
2,528999;162,416;19,023;-11,466
2,560817;-133,265;-26,808;-62,715
2,709469;-146,275;-26,808;-62,715
2,729246;-146,275;-26,808;-62,715
2,754024;-154,550;-77,908;173,016
2,910443;-160,191;-77,908;173,016
2,928576;-160,191;-77,908;173,016
2,946437;136,378;-68,661;81,757
2,946866;136,378;-68,661;81,757
3,109933;127,077;-68,661;81,757
3,138830;149,741;-27,814;32,098
3,139215;149,741;-27,814;32,098
3,310436;150,809;-27,814;32,098
3,332195;-174,098;22,770;-13,294
3,332744;-174,098;22,770;-13,294
3,510514;-173,465;22,770;-13,294
3,524442;-160,377;32,025;-37,405
3,529144;-160,377;32,025;-37,405
3,710074;-164,671;32,025;-37,405
3,717561;-163,743;-2,077;-34,736
3,728720;-163,743;-2,077;-34,736
3,911731;-176,828;-2,077;-34,736
3,913058;-161,452;-39,951;-51,629
3,928029;-161,452;-39,951;-51,629
4,103569;-43,644;-80,622;-55,075
4,108843;-87,465;-80,622;-55,075
4,128618;-87,465;-80,622;-55,075
4,295851;156,227;-48,820;64,829
4,308599;146,801;-48,820;64,829
4,327933;146,801;-48,820;64,829
4,489806;173,227;0,012;33,857
4,508496;165,375;0,012;33,857
4,528898;165,375;0,012;33,857
4,681638;-173,919;17,068;-6,570
4,708856;174,684;17,068;-6,570
4,728814;174,684;17,068;-6,570
4,873546;-158,066;1,177;-55,565
4,910751;-169,357;1,177;-55,565
4,928499;-169,357;1,177;-55,565
5,068074;-148,476;-25,021;-85,828
5,108353;-164,148;-25,021;-85,828
5,128680;-164,148;-25,021;-85,828
5,259388;-141,781;-57,618;-145,857
5,309558;-164,301;-57,618;-145,857
5,328758;-164,301;-57,618;-145,857
5,450982;177,561;-46,241;104,806
5,510223;170,367;-46,241;104,806
5,528825;170,367;-46,241;104,806
5,644419;177,938;-40,652;78,771
5,710194;166,130;-40,652;78,771
5,728523;166,130;-40,652;78,771
5,835203;-166,504;8,334;19,567
5,909258;-174,812;8,334;19,567
5,929467;-174,812;8,334;19,567
6,028978;-162,516;32,756;-11,473
6,109458;-173,480;32,756;-11,473
6,128456;-173,480;32,756;-11,473
6,223244;-162,037;6,208;-42,651
6,309557;-164,459;6,208;-42,651
6,329093;-164,459;6,208;-42,651
6,414683;-162,470;-47,146;-11,296
6,508472;-137,562;-47,146;-11,296
6,530273;-137,562;-47,146;-11,296
6,607302;-168,911;-23,901;30,855
6,708994;-152,381;-23,901;30,855
6,728638;-152,381;-23,901;30,855
6,801825;-149,882;16,448;4,347
6,907686;-154,034;16,448;4,347
6,927481;-154,034;16,448;4,347
6,990812;-125,065;-51,511;-65,922
7,110129;-123,945;-51,511;-65,922
7,128581;-123,945;-51,511;-65,922
7,185468;-113,817;-57,962;-56,750
7,310349;-117,900;-57,962;-56,750
7,329142;-117,900;-57,962;-56,750
7,376488;-126,599;-55,332;-69,520
7,508707;-143,128;-55,332;-69,520
7,531535;-143,128;-55,332;-69,520
7,570523;-157,570;-25,721;-87,557
7,710161;-169,763;-25,721;-87,557
7,729022;-169,763;-25,721;-87,557
7,764242;-170,862;2,936;-90,327
7,911707;-179,251;2,936;-90,327
7,928715;-179,251;2,936;-90,327
7,954780;-178,738;23,145;-93,145
8,110198;170,941;23,145;-93,145
8,128778;170,941;23,145;-93,145
8,147863;172,402;22,029;-96,253
8,148377;172,402;22,029;-96,253
8,310342;162,319;22,029;-96,253
8,340586;162,319;22,029;-96,253
8,342102;163,155;5,671;-100,871
8,510219;157,234;5,671;-100,871
8,531240;157,234;5,671;-100,871
8,532147;104,383;-40,277;-90,649
8,708172;111,914;-40,277;-90,649
8,723527;153,275;-37,789;16,351
8,727634;153,275;-37,789;16,351
8,910172;152,593;-37,789;16,351
8,916571;151,585;0,686;20,935
8,928965;151,585;0,686;20,935
9,110871;141,996;16,616;9,411
9,111677;151,339;16,616;9,411
9,130196;151,339;16,616;9,411
9,303319;152,558;-3,167;-10,849
9,308490;160,762;-3,167;-10,849
9,329113;160,762;-3,167;-10,849
9,497072;-177,369;-17,948;-64,635
9,508613;-168,473;-17,948;-64,635
9,530141;-168,473;-17,948;-64,635
