time,yaw,pitch,roll
2023-04-27 13:52:40.7530,12.221,8.303,-1.21
2023-04-27 13:52:40.8520,11.603,8.831,-0.801
2023-04-27 13:52:40.9520,11.606,8.885,-0.656
2023-04-27 13:52:41.0520,11.774,8.817,-0.85
2023-04-27 13:52:41.1520,22.644,6.07,-2.732
2023-04-27 13:52:41.2500,42.668,9.021,-5.037
2023-04-27 13:52:41.3520,62.476,11.881,-8.793
2023-04-27 13:52:41.4520,78.041,14.873,-18.266
2023-04-27 13:52:41.5520,76.683,10.071,-20.844
2023-04-27 13:52:41.6520,79.539,0.866,-19.54
2023-04-27 13:52:41.7500,84.802,-8.848,-22.022
2023-04-27 13:52:41.8520,84.274,-27.15,-23.623
2023-04-27 13:52:41.9520,75.031,-49.135,-28.185
2023-04-27 13:52:42.0510,7.435,-80.223,-89.223
2023-04-27 13:52:42.1520,-88.678,-66.016,179.309
2023-04-27 13:52:42.2520,-110.39,-58.655,164.335
2023-04-27 13:52:42.3520,-119.911,-50.561,159.433
2023-04-27 13:52:42.4520,-113.393,-58.339,163.633
2023-04-27 13:52:42.5520,-76.035,-81.603,-163.465
2023-04-27 13:52:42.6520,52.756,-71.655,-35.432
2023-04-27 13:52:42.7520,72.327,-44.333,-19.264
2023-04-27 13:52:42.8520,83.456,-13.532,-10.503
2023-04-27 13:52:42.9520,85.5,8.003,-10.407
2023-04-27 13:52:43.0520,88.777,25.365,-7.081
2023-04-27 13:52:43.1520,91.437,39.074,-6.376
2023-04-27 13:52:43.2520,90.535,56.63,2.085
2023-04-27 13:52:43.3520,73.926,69.438,30.38
2023-04-27 13:52:43.4520,36.396,67.767,71.959
2023-04-27 13:52:43.5520,3.91,55.224,99.226
2023-04-27 13:52:43.6510,-11.179,42.598,99.497
2023-04-27 13:52:43.7510,-17.287,26.513,84.908
2023-04-27 13:52:43.8510,-31.709,8.108,56.681
2023-04-27 13:52:43.9520,-39.024,3.156,34.236
2023-04-27 13:52:44.0510,-31.069,-7.252,30.748
2023-04-27 13:52:44.1510,-12.052,-20.688,27.229
2023-04-27 13:52:44.2510,18.273,-19.279,35.067
2023-04-27 13:52:44.3510,42.229,-6.046,34.839
2023-04-27 13:52:44.4510,69.83,23.648,24.88
2023-04-27 13:52:44.5510,110.525,38.351,-6.1
2023-04-27 13:52:44.6510,142.096,34.874,-28.478
2023-04-27 13:52:44.7500,151.266,30.685,-34.869
2023-04-27 13:52:44.8500,148.811,30.574,-37.28
2023-04-27 13:52:44.9500,137.424,21.728,-36.326
2023-04-27 13:52:45.0500,119.391,11.766,-37.359
2023-04-27 13:52:45.1500,100.046,-6.065,-37.041
2023-04-27 13:52:45.2500,69.641,-35.149,-49.082
2023-04-27 13:52:45.3500,19.424,-56.835,-90.301
2023-04-27 13:52:45.4500,-30.077,-56.81,-137.396
2023-04-27 13:52:45.5500,-58.264,-55.21,-157.516
2023-04-27 13:52:45.6500,-88.636,-64.762,-175.032
2023-04-27 13:52:45.7500,-144.68,-69.357,143.875
2023-04-27 13:52:45.8500,170.786,-64.155,103.353
2023-04-27 13:52:45.9500,141.437,-50.775,76.028
2023-04-27 13:52:46.0490,134.336,-29.817,60.145
2023-04-27 13:52:46.1490,131.624,-10.447,41.69
2023-04-27 13:52:46.2500,126.53,8.356,24.487
2023-04-27 13:52:46.3490,125.174,21.291,11.881
2023-04-27 13:52:46.4490,114.171,28.135,4.898
2023-04-27 13:52:46.5490,96.77,27.103,4.15
2023-04-27 13:52:46.6490,80.645,11.988,-7.653
2023-04-27 13:52:46.7490,65.858,8.765,-14.063
2023-04-27 13:52:46.8490,41.92,7.08,-19.139
2023-04-27 13:52:46.9490,14.171,-0.759,-25.64
2023-04-27 13:52:47.0490,-5.288,-10.642,-34.122
2023-04-27 13:52:47.1490,-21.673,-19.085,-40.673
2023-04-27 13:52:47.2490,-27.158,-20.385,-44.879
2023-04-27 13:52:47.3490,-26.762,-25.258,-45.384
2023-04-27 13:52:47.4490,-10.564,-27.737,-34.169
2023-04-27 13:52:47.5490,18.224,-28.147,-17.198
2023-04-27 13:52:47.6490,50.479,-16.875,0.432
2023-04-27 13:52:47.7490,75.653,-0.92,10.713
2023-04-27 13:52:47.8490,62.509,-6.353,-1.76
2023-04-27 13:52:47.9490,43.579,-8.659,-15.296
2023-04-27 13:52:48.0490,43.015,-10.886,-9.043
2023-04-27 13:52:48.1490,75.438,3.553,15.839
2023-04-27 13:52:48.2490,113.964,26.258,22.852
2023-04-27 13:52:48.3490,160.311,34.613,3.726
2023-04-27 13:52:48.4490,-178.289,4.262,-5.266
2023-04-27 13:52:48.5490,-169.617,-9.67,2.97
2023-04-27 13:52:48.6490,-161.465,-8.059,-2.714
2023-04-27 13:52:48.7490,-161.528,-1.736,-5.718
2023-04-27 13:52:48.8490,-167.004,14.841,-7.348
2023-04-27 13:52:48.9490,-177.895,37.757,-2.963
2023-04-27 13:52:49.0490,175.978,46.885,0.29
2023-04-27 13:52:49.1480,173.895,47.234,1.197
2023-04-27 13:52:49.2490,171.198,45.351,3.676
2023-04-27 13:52:49.3490,169.521,45.97,5.999
2023-04-27 13:52:49.4490,169.637,46.769,7.517
2023-04-27 13:52:49.5490,172.413,44.72,8.963
2023-04-27 13:52:49.6480,177.267,52.766,9.096
2023-04-27 13:52:49.7490,175.447,59.089,13.791
2023-04-27 13:52:49.8480,166.111,61.748,23.832
2023-04-27 13:52:49.9480,151.797,61.972,34.275
2023-04-27 13:52:50.0480,133.244,57.895,43.056
2023-04-27 13:52:50.1480,117.709,53.306,46.915
2023-04-27 13:52:50.2480,109.615,53.183,48.117
2023-04-27 13:52:50.3480,100.703,56.861,55.059
2023-04-27 13:52:50.4480,93.631,58.156,57.004
2023-04-27 13:52:50.5480,89.969,61.655,54.646
2023-04-27 13:52:50.6470,78.07,66.505,58.068
2023-04-27 13:52:50.7470,75.583,68.52,55.414
2023-04-27 13:52:50.8470,62.54,71.789,66.995
2023-04-27 13:52:50.9470,28.5,75.734,96.449
2023-04-27 13:52:51.0480,-27.275,69.531,132.468
2023-04-27 13:52:51.1460,-53.503,50.152,144.814
2023-04-27 13:52:51.2480,-70.902,32.682,151.653
2023-04-27 13:52:51.3470,-82.127,15.616,153.317
2023-04-27 13:52:51.4470,-81.858,7.268,146.566
2023-04-27 13:52:51.5470,-79.215,-4.074,138.098
2023-04-27 13:52:51.6470,-75.785,-18.574,129.559
2023-04-27 13:52:51.7470,-70.906,-34.329,127.499
2023-04-27 13:52:51.8470,-65.61,-47.933,130.036
2023-04-27 13:52:51.9470,-57.978,-56.016,136.768
2023-04-27 13:52:52.0470,-19.06,-63.287,168.888
2023-04-27 13:52:52.1470,12.4,-48.33,-166.892
2023-04-27 13:52:52.2470,19.991,-31.716,-165.255
2023-04-27 13:52:52.3470,22.331,-14.239,-170.802
2023-04-27 13:52:52.4450,16.256,-10.498,177.239
2023-04-27 13:52:52.5430,6.597,-6.63,156.225
2023-04-27 13:52:52.6450,-0.571,-0.278,142.103
2023-04-27 13:52:52.7430,-3.397,3.879,136.669
2023-04-27 13:52:52.8430,-2.626,1.946,138.96
2023-04-27 13:52:52.9440,-6.706,-4.877,143.587
2023-04-27 13:52:53.0440,-16.894,-19.67,146.215
2023-04-27 13:52:53.1450,-26.379,-38.656,149.05
2023-04-27 13:52:53.2440,-57.637,-47.757,136.934
2023-04-27 13:52:53.3450,-81.456,-16.251,133.768
2023-04-27 13:52:53.4440,-103.763,22.917,152.58
2023-04-27 13:52:53.5440,-149.306,45.915,-161.725
2023-04-27 13:52:53.6440,-171.481,39.126,-134.872
2023-04-27 13:52:53.7430,-116.35,57.768,-177.428
2023-04-27 13:52:53.8440,-51.155,31.326,137.871
2023-04-27 13:52:53.9450,-94.32,42.78,157.217
2023-04-27 13:52:54.0440,-163.725,38.543,-150.871
2023-04-27 13:52:54.1440,-111.635,38.258,170.445
2023-04-27 13:52:54.2440,-85.404,18.617,147.469
2023-04-27 13:52:54.3440,-175.194,37.979,-153.189
2023-04-27 13:52:54.4440,-141.169,36.567,-178.204
2023-04-27 13:52:54.5440,-85.689,8.861,143.935
2023-04-27 13:52:54.6440,-169.802,36.385,-164.364
2023-04-27 13:52:54.7440,-142.767,32.628,178.131
2023-04-27 13:52:54.8440,-104.245,16.928,149.15
2023-04-27 13:52:54.9440,177.254,33.254,-156.567
